S No,Party Name,Party Account No,Party Bank Name,Party Bank Branch,Party Bank IFSC Code,Party Amount
1,"District Supply Officer, Srikakulam",142710011000536,Andhra Bank,Collectorate Branch,ANDB0001427,52000
2,Collector (CS) Vizianagaram,10576588570,State Bank of India,Contonment Branch,SBIN0006647,52000
3,"District Supply Officer, Vishakapatnam",10849845789,State Bank of India,Maharanipeta,SBIN0000754,52000
4,"Collector (CS), East Godavari",144010011000284,Andhra Bank,Collectorate Branch,ANDB0001440,52000
5,"Collector (CS), West Godavari",107110100049556,Andhra Bank,C.R.R Branch,ANDB0001071,52000
6,"Collector (CS), Guntur",33024360428,State Bank of India,Treasury Branch,SBIN0006307,78000
7,"Collector (CS), Prakasam",31833859352,State Bank of India,Trunk Road,SBIN0010310,52000
8,"Collector (CS), Nellore",31898827324,State Bank of India,Collectorate Branch,SBIN0012961,52000
9,"Collector (CS), Chitoor",30016188877,State Bank of India,Greamspet,SBIN0007083,52000
10,"Collector (CS), Kurnool ",10937218691,State Bank of India,Treasury Branch,SBIN0006305,78000
11,"Collector (CS), Anathpur ",142910011000655,Andhra Bank,Collectorate Branch,ANDB0001429,78000
