Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,COE Visakhapatanam,62196622006,State Bank of Hyderabad,,SBHY0020963,1091461
2,RJC B RC Varam,62205023388,State Bank of Hyderabad,,SBHY0021199,671331
3,RJC G Rajavomangi,62233261092,State Bank of Hyderabad,,SBHY0020521,251332
4,RJC B Chintoor,62287311020,State Bank of Hyderabad,,SBHY0020693,307544
5,RJC B KR Puram,62187397115,State Bank of Hyderabad,,SBHY0021150,744674
6,RJC B Jeelugumilli,62197962948,State Bank of Hyderabad,,SBHY0020769,855479
7,RJC G Buttaigudem,62203785146,State Bank of Hyderabad,,SBHY0020769,685809
8,RJC B Bhadragiri,32060188799,State Bank of India,,SBIN0008299,353026
9,RJC G Bhadragiri,11627475064,State Bank of India,,SBIN0008299,355550
10,RJC B P Konavalasa,32086351973,State Bank of India,,SBIN0000914,373284
11,RJC B Araku Valley,11599030939,State Bank of India,,SBIN0002691,333214
12,RJC G Araku Valley,11599030928,State Bank of India,,SBIN0002691,288616
13,RJC B Koyyuru,30238443440,State Bank of India,,SBIN0000886,350809
14,RJC G Paderu,32704577414,State Bank of India,,SBIN0009473,374540
15,RJC B Pedabayalu,11704963096,State Bank of India,,SBIN0009476,293868
16,RJC B G Madugula,32523391457,State Bank of India,,SBIN0009473,237946
17,RJC G Y Ramavaram,11516011904,State Bank of India,,SBIN0005883,219092
18,RJC B Addateegala,32133833263,State Bank of India,,SBIN0005883,508653
19,RJC B Chittedu (Kota),32476816178,State Bank of India,,SBIN0002811,1014494
20,RJC B Srisailam ,32449272739,State Bank of India,,SBIN0000750,501332
